Município;Código;Gentílico;Prefeito ano 2021;Área Territorial – km²;População estimada - pessoas ano 2021;Densidade demográfica - hab/km² ano 2010;Escolarização 6 a 14 anos - % ano 2010;IDHM Índice de desenvolvimento humano municipal ano 2010;Mortalidade infantil - óbitos por mil nascidos vivos ano 2020;Receitas realizadas - R$ (×1000) ano 2017;Despesas empenhadas - R$ (×1000) ano 2017;PIB per capita - R$ ano 2019
Cortês;2604809;cortesense;MARIA DE FATIMA CYSNEIROS SAMPAIO BORBA;101,316;12543;122,9;97,2;0,568;13,61;45571,82893;44186,08868;9156,45
Cumaru;2604908;cumaruense;MARIANA MENDES DE MEDEIROS;292,231;9494;58,8;98,5;0,572;19,35;33411,61215;32657,95005;8819,24
Cupira;2605004;cupirense;JOSÉ MARIA LEITE DE MACEDO;95,155;24237;221,58;97,3;0,592;11,02;49756,97653;45975,09282;11464,19
Custódia;2605103;custodiense;EMMANUEL FERNANDES DE FREITAS GOIS;1404,126;37633;24,11;97,1;0,594;13,38;75387,12176;77919,88426;13526,98
Dormentes;2605152;dormentense;JOSIMARA CAVALCANTI RODRIGUES YOTSUYA;1539,052;19246;11;97;0,589;19,23;48921,93775;46111,32514;11668,7
Escada;2605202;escadense;MARIA JOSE FIDELIS MOURA GOUVEIA;342,201;69701;183,07;94,1;0,632;2,47;127669,02451;130317,73074;15417,92
Exu;2605301;exuense;RAIMUNDO PINTO SARAIVA SOBRINHO;1336,786;31709;23,65;95,2;0,576;11,39;69255,83573;66749,3125;9084,32
Feira Nova;2605400;feira-novense;DANILSON CANDIDO GONZAGA;107,726;22360;190,96;97,6;0,6;6,23;46767,08375;47305,73399;9161,8
Ferreiros;2605509;ferreirense;JOSE ROBERTO DE OLIVEIRA;92,516;12216;127,93;97,9;0,622;16,26;29913,7085;31175,27631;9193,16
Flores;2605608;florense;MARCONI MARTINS SANTANA;995,558;22612;22,27;96,4;0,556;18,87;48602,10997;44775,61414;7932,3
Floresta;2605707;florestano;ROSANGELA DE MOURA MANIÇOBA NOVAES FERRAZ;3644,169;33488;8,04;95,6;0,626;10,16;81562,82575;77441,77491;13144,8
Frei Miguelinho;2605806;frei-miguelinhense;ADRIANA ALVES ASSUNÇÃO BARBOSA;212,707;15633;67,2;95,4;0,576;18,02;31288,02448;29635,70546;8207,62
Gameleira;2605905;gameleirense;LEANDRO RIBEIRO GOMES DE LIMA;255,961;31578;109,05;97;0,602;7,02;46989,96352;43882,53358;7630,72
Garanhuns;2606002;garanhuense;SIVALDO RODRIGUES ALBINO;458,552;141347;282,21;96,8;0,664;13,22;277111,47317;275853,25084;18622,87
Glória do Goitá;2606101;gloriense;ADRIANA DORNELAS CAMARA PAES;234,214;30847;125,17;98,3;0,604;18,32;58878,48083;54012,45529;13573,27
Goiana;2606200;goianense;EDUARDO HONÓRIO CARNEIRO;445,405;80345;150,72;96,7;0,651;9,62;216636,09379;165127,99205;128206,09
Granito;2606309;granitense;JOAO BOSCO LACERDA DE ALENCAR;521,69;7586;13,13;98,5;0,595;18,52;24891,97608;21617,26655;9303,49
Gravatá;2606408;gravataense;JOSELITO GOMES DA SILVA;503,946;85309;150,87;97,2;0,634;6,16;153864,61675;143833,27864;14665,18
Iati;2606507;iatiense;ANTONIO JOSÉ DE SOUZA;635,137;19284;28,91;90,5;0,528;12,12;53244,78215;47887,36045;9129,71
Ibimirim;2606606;ibimiriense;JOSE WELLITON DE MELO SIQUEIRA;1906,437;29585;14,14;93,7;0,552;4,58;58332,51098;53998,58448;9825,9
Ibirajuba;2606705;ibirajubense;MARIA IZALTA SILVA LOPES GAMA;189,596;7773;39,74;96,7;0,58;20,83;24177,85009;23561,0659;8260,46
Igarassu;2606804;igarassuano;ELCIONE DA SILVA RAMOS PEDROZA BARBOSA;306,879;119690;333,88;97,9;0,665;7,82;243685,05216;211799,59461;22720,23
Iguaracy;2606903;iguaraciense;JOSE TORRES LOPES FILHO;838,132;12265;14,05;98,7;0,598;-;31622,61285;28675,70674;7966,45
Inajá;2607000;inajaense;MARCELO MACHADO FREIRE;1168,158;24034;16,14;84,2;0,523;5,54;41707,25865;42189,47856;7549,11
Ingazeira;2607109;ingazeirense;LUCIANO TORRES MARTINS;243,586;4537;18,45;98,2;0,608;18,52;21596,41902;20309,4412;8326,69
Ipojuca;2607208;ipojuquense ou ipojucanos;CELIA AGOSTINHO LINS DE SALES;521,801;99101;152,98;97,3;0,619;5,69;737218,28417;678598,01813;132206,17
Ipubi;2607307;ipubiense;FRANCISCO RUBENS MARIO CHAVES SIQUEIRA;693,914;31515;32,64;95,1;0,55;13,94;67417,40343;62450,21587;10381,45
Itacuruba;2607406;itacurubense;BERNARDO DE MOURA FERRAZ;430,038;5013;10,16;97,5;0,595;-;30151,53931;23072,58623;12604,57
Itaíba;2607505;itaibense;MARIA REGINA DA CUNHA;1061,694;26268;24,2;93,3;0,51;12,12;60220,16821;61302,74911;9057,06
Ilha de Itamaracá;2607604;itamaracaense;MOSAR DE MELO BARBOSA FILHO;66,146;27076;328,17;97,6;0,653;13,79;64403,2288;60174,32625;9679,82
Itambé;2607653;itambeense;MARIA DAS GRAÇAS GALLINDO CARRAZZONNI;304,006;36495;116,13;94,6;0,575;25,38;70291,93714;66888,41956;12641,41
Itapetim;2607703;itapetinense;ADELMO ALVES DE MOURA;404,85;13492;34,29;97,5;0,592;5,56;39433,05553;36008,45413;8349,62
Itapissuma;2607752;itapissumense;JOSÉ BEZERRA TENÓRIO FILHO;73,968;27144;320,19;97,6;0,633;5,59;101908,23862;93302,77712;69380,68
Itaquitinga;2607802;itaquitinguense;PABLO JOSE DE OLIVEIRA MORAES;162,739;17056;151,72;97,3;0,586;4,98;36663,62523;37666,93663;8220,11
Jaboatão dos Guararapes;2607901;jaboatãoense;ANDERSON FERREIRA RODRIGUES;258,724;711330;2491,82;96,8;0,717;12,19;1323478,88101;1100876,65428;19750,5
Jaqueira;2607950;jaqueirense;RIDETE CELLIBE PELLEGRINO DE MACÊDO OLIVEIRA;87,208;11632;131,88;95,4;0,575;11,63;35866,13472;35130,6287;8487,21
Jataúba;2608008;jataubense;CÁTIA JUNSARA RODRIGUES AQUILINO;714,601;17305;23,53;97,6;0,53;8,81;41809,36644;38230,7731;7889,5
Jatobá;2608057;jatobaense;ROGÉRIO FERREIRA GOMES DA SILVA;277,862;14904;50,25;97,7;0,645;4,98;32461,79465;31402,67428;8857,69
João Alfredo;2608107;alfredense;JOSÉ ANTONIO MARTINS DA SILVA;134,147;33570;227,52;97,1;0,576;9,46;66699,02515;63008,48986;9131,36
Joaquim Nabuco;2608206;nabuquense;ANTONIO RAIMUNDO BARRETO NETO;121,901;15999;129,39;95,5;0,554;13,95;43150,35159;36871,26036;8369,19
Jucati;2608255;jucatiense;JOSÉ EDNALDO PEIXOTO DE LIMA;120,604;11545;87,92;98;0,55;5,81;33018,70428;31815,72823;10106,53
Jupi;2608305;jupiense;ANTONIO MARCOS PATRIOTA;104,994;15007;130,53;96,3;0,575;10,87;54385,17689;44696,94667;11465,75
Jurema;2608404;juremense;EDVALDO MARCOS RAMOS FERREIRA;148,254;15483;98,08;96;0,509;15,15;40801,90147;48971,7998;7133,94
Lagoa do Carro;2608453;lagoense do carro;JUDITE MARIA BOTAFOGO SANTANA DA SILVA;69,666;18429;229,77;97,8;0,609;4,31;40620,11942;44392,31249;15816,34
Lagoa de Itaenga;2608503;itaenguense;MARIA DAS GRAÇAS DE ARRUDA SILVA;56,131;21490;360,65;98,9;0,602;6,17;45404,32059;48113,14103;15793,28
Lagoa do Ouro;2608602;lagoa-do-ourense;EDSON LOPES CAVALCANTE;198,762;13300;61,04;96,5;0,525;6,21;39831,3521;37977,19886;9179,48
Lagoa dos Gatos;2608701;lagoense;STÊNIO FERNANDES DE ALBUQUERQUE;224,947;16345;70,06;96,5;0,551;9,62;33537,57979;31806,98877;6895,7
Lagoa Grande;2608750;lagoa-grandense;VILMAR CAPPELLARO;1850,07;26090;12,31;96,3;0,597;18,82;61703,61177;52163,05827;15343,01
Lajedo;2608800;lajedense;ADELMO DUARTE RIBEIRO;189,096;40883;193,7;97,9;0,611;12,23;90652,74929;84314,95585;12133,49
Limoeiro;2608909;limoeirense;ORLANDO JORGE PEREIRA DE ANDRADE LIMA;273,733;56149;202,53;98;0,663;7,13;106698,53232;146092,39064;14315,95
Macaparana;2609006;macaparanense;PAULO BARBOSA DA SILVA;108,049;25565;221,43;97,9;0,609;-;53982,43522;55143,29435;11288,56
Machados;2609105;machadense;JUAREZ RODRIGUES FERNANDES;60,036;16549;226,46;82,9;0,578;5,49;35035,57593;33552,6974;11828,36
Manari;2609154;manariense;AUDALIO MARTINS DA SILVA JUNIOR;344,725;22110;47,56;93,4;0,487;17,42;47410,42905;46374,18875;6186,8
Maraial;2609204;maraialense;SERGIO DA SILVA;199,865;11098;61,19;94,1;0,534;12,12;39732,20988;31597,95177;7494,18
Mirandiba;2609303;mirandibense;ROSE CLÉA MAXIMO DE CARVALHO SÁ;821,676;15548;17,41;95,8;0,591;8,33;36929,46986;35416,67758;10320,84
Moreno;2609402;morenense;EDMILSON CUPERTINO DE ALMEIDA;196,073;63792;289,16;95,8;0,652;18,16;107822,13706;97886,55647;11073,15
Nazaré da Mata;2609501;nazareno;INACIO MANOEL DO NASCIMENTO;130,572;32673;204,95;96,1;0,662;11,99;54902,21008;57721,77206;16867,83
Olinda;2609600;olindense;LUPERCIO CARLOS DO NASCIMENTO;41,3;393734;9063,58;96,9;0,735;11,14;627292,10974;564477,78381;14713,81
Orobó;2609709;orobense;SEVERINO LUIZ PEREIRA DE ABREU;138,662;23985;164,99;97,2;0,61;3,86;58679,56725;54181,76825;14820,6
Orocó;2609808;orocoense;GEORGE GUEBER CAVALCANTE NERY;554,76;15309;23,76;98;0,61;25,09;41517,08637;37866,03175;12588,22
Ouricuri;2609907;ouricuriense;FRANCISCO RICARDO SOARES RAMOS;2381,57;70466;26,56;92,4;0,572;17,01;121124,38129;135072,44205;10223,61
Palmares;2610004;palmarense;JOSÉ BARTOLOMEU DE ALMEIDA MELO JUNIOR;339,291;63745;175,44;96,3;0,622;3,53;129657,239;135059,73673;13471,21
Palmeirina;2610103;palmeirinense;MARCELO NEVES DE LIMA;168,796;7509;51,82;94;0,549;10,2;23736,61602;26810,3834;9446,6
Panelas;2610202;panelense;RUBEN DE LIMA BARBOSA;380,428;26438;69,14;98,6;0,569;9,62;82808,45869;71270,31865;7348,18
Paranatama;2610301;paranatamense;JOSE VALMIR PIMENTEL DE GOIS;185,371;11608;47,65;97,9;0,537;5,15;38048,98726;36511,75982;19050
Parnamirim;2610400;parnamirinense;FERDINANDO LIMA DE CARVALHO;2609,548;22198;7,79;97;0,599;13,47;49859,83068;46505,80731;8227,03
Passira;2610509;passirense;SEVERINO SILVESTRE DE ALBUQUERQUE;326,757;28856;87,61;95,9;0,592;10,1;60396,72672;63869,93836;7994,82
Paudalho;2610608;paudalhense;MARCELLO FUCHS CAMPOS GOUVEIA;269,651;57346;185,06;96,7;0,639;6,94;99429,96497;90579,71753;15434,67
Paulista;2610707;paulistano;YVES RIBEIRO DE ALBUQUERQUE;96,932;336919;3087,66;97,9;0,732;11,29;501021,00628;457524,10481;13681,83
Pedra;2610806;pedrense;GILBERTO JÚNIOR WANDERLEY VAZ;921,477;22716;26,08;92;0,567;18,07;48119,19458;48181,38936;11077,69
Pesqueira;2610905;pesqueirense;MARIA JOSE CASTRO TENORIO;980,876;68067;63,21;97,4;0,61;10,79;117501,81215;107174,11434;10804,68
Petrolândia;2611002;petrolandense;FABIANO JAQUES MARQUES;1056,592;37246;30,75;96;0,623;13,62;80548,29077;77134,21193;40379,67
Petrolina;2611101;petrolinense;MIGUEL DE SOUZA LEÃO COELHO;4561,87;359372;64,44;97;0,697;14,02;669779,17576;604499,95462;20811,26
Poção;2611200;poçãoense;EMERSON CORDEIRO VASCONCELOS;204,329;11308;45,56;97;0,528;12,2;29218,3409;26962,35066;7648,86
Pombos;2611309;pomboense;MANOEL MARCOS ALVES FERREIRA;239,876;27204;118,35;95;0,598;18,57;57179,34587;57045,16544;16151,93
Primavera;2611408;primaverense;DAYSE JULIANA DOS SANTOS;113,112;15231;121,97;96,7;0,58;23,53;32800,34927;31447,23829;11188,25
Quipapá;2611507;quipapaense;ALVARO PORTO DE BARROS FILHO;230,617;26309;104,88;97,2;0,552;8,37;58125,87157;58430,73616;7090,04
Quixaba;2611533;quixabense;JOSÉ PEREIRA NUNES;210,705;6796;31,98;99,2;0,577;18,02;26460,00167;23119,64656;8277,42
Recife;2611606;recifense;JOAO HENRIQUE DE ANDRADE LIMA CAMPOS;218,843;1661017;7039,64;97,1;0,772;11,2;4863813,57332;4359406,34804;33232,26
Riacho das Almas;2611705;riachense;DIOCLÉCIO ROSENDO DE LIMA FILHO;314,003;20744;61,02;93,4;0,57;28,74;52372,07858;49074,57391;9394,09
Ribeirão;2611804;ribeirãoense;MARCELLO CAVALCANTI DE PETRIBU DE ALBUQUERQUE MARANHAO;289,733;47813;154,35;92,9;0,602;17,51;82797,04627;78496,23751;9786,27
Rio Formoso;2611903;rio-formosense;ISABEL CRISTINA ARAUJO HACKER;227,458;23719;97,39;89,5;0,613;15,34;60428,06973;53244,00166;11492
Sairé;2612000;saireense;GILDO PONTES DE ARRUDA;190,455;9600;59,36;97,7;0,585;7,58;27782,41166;28166,09398;13749,38
Salgadinho;2612109;salgadinense;JOSE SOARES DA FONSECA;87,217;11214;106,77;87,6;0,534;-;25270,5575;23794,1108;6563,78
Salgueiro;2612208;salgueirense;MARCONES LIBÓRIO DE SÁ;1678,564;61561;33,57;96,7;0,669;11,67;123973,69438;112548,31356;16052,17
Saloá;2612307;saloaense;RIVALDO ALVES DE SOUZA JUNIOR;251,549;15880;60,73;97,4;0,559;10,75;41419,13746;44581,87821;8277,69
Sanharó;2612406;sanharoense;CESAR AUGUSTO DE FREITAS;268,686;27308;81,71;93,2;0,603;16,95;45919,49208;43659,19379;8014,9
Santa Cruz;2612455;santacruzense;ELIANE MARIA DA SILVA SOARES;1245,983;15713;10,82;97,5;0,549;9,39;38314,62005;34281,28358;7884,29
Santa Cruz da Baixa Verde;2612471;santacruzense;JOSE IRLANDO DE SOUZA LIMA;114,932;12708;102,39;97,8;0,612;-;33046,6343;31848,76407;7789,42
Santa Cruz do Capibaribe;2612505;santa-cruzense;FÁBIO QUEIROZ ARAGÃO;335,309;111812;261,2;95,7;0,648;10,98;171093,0329;157045,0838;14680,05
Santa Filomena;2612554;filomense;PEDRO GILDEVAN COELHO MELO;1005,341;14645;13,3;97;0,533;29,59;38229,65699;31283,89338;6988,2
Santa Maria da Boa Vista;2612604;Boavistano;GEORGE RODRIGUES DUARTE;3000,774;42266;13,14;97,4;0,59;12,69;111225,08365;87340,57363;15507,98
Santa Maria do Cambucá;2612703;santa-mariense;NELSON SEBASTIAO DE LIMA;92,148;14308;141,31;96,4;0,548;5,03;30854,90134;30389,53873;7844,61
Santa Terezinha;2612802;santa-terezinhense;ADEILSON LUSTOSA DA SILVA;200,327;11914;56,2;97,8;0,593;19,42;29395,25562;29130,4728;7677,92
São Benedito do Sul;2612901;são-beneditense;CLAUDIO JOSE GOMES DE AMORIM JUNIOR;160,477;16239;86,87;83,7;0,53;-;32839,95674;28713,69656;6490,85
São Bento do Una;2613008;são-bentense;PEDRO ALEXANDRE MEDEIROS DE SOUZA;719,148;60567;74,03;93;0,593;10,06;117545,24283;93583,40378;21797,56
São Caitano;2613107;são-caitanense;JOSAFA ALMEIDA LIMA;382,483;37488;92,23;97,2;0,591;15,59;65800,72051;56621,96159;10128,36
São João;2613206;são-joanense;JOSE WILSON FERREIRA DE LIMA;258,334;23002;82,5;96,3;0,57;12,54;55297,47295;50985,04308;10476,3
São Joaquim do Monte;2613305;são-joaquinense;EDUARDO JOSÉ DE OLIVEIRA LINS;232,07;21439;88,39;94,2;0,537;26,14;50888,58426;49066,54777;7899,93
São José da Coroa Grande;2613404;são-josé-coroa-grandense;JAZIEL GONSALVES LAGES;69,184;21868;262,19;95,8;0,608;14,76;50301,54464;47248,60275;11324,82
São José do Belmonte;2613503;belmontense;FRANCISCO ROMONILSON MARIANO DE MOURA;1474,086;34082;22,13;96,2;0,61;-;64494,89618;62959,79589;8557,63
São José do Egito;2613602;egipsiense;EVANDRO PERAZZO VALADARES;780,852;34210;39,84;98,9;0,635;2,5;73405,26229;72014,14856;12071,71
São Lourenço da Mata;2613701;são-lourensense;VINÍCIUS LABANCA;264,19;114910;392,57;97,1;0,653;15,13;163986,12606;135811,65749;11121,96
São Vicente Férrer;2613800;são-vicentino;MARCONE VICENTE DOS SANTOS;113,985;18150;149,14;95,2;0,549;3,98;45895,15197;44805,03463;15171,75
Serra Talhada;2613909;serra-talhadense;MÁRCIA CONRADO DE LORENA E SÁ;2980,007;87467;26,59;96,7;0,661;10,5;193463,69766;185581,59534;17848,2
Serrita;2614006;serritense;SEBASTIAO BENEDITO DOS SANTOS;1535,19;19226;11,92;98,1;0,595;3,72;49139,0361;48298,98624;7220,7
Sertânia;2614105;sertaniense;ÂNGELO RAFAEL FERREIRA DOS SANTOS;2421,527;36189;13,95;94,6;0,613;15,56;76416,70195;67487,93013;15339,13
Sirinhaém;2614204;sirinhaense ou sirinhadoara;CAMILA MACHADO LEOCADIO LINS DOS SANTOS;374,321;46845;107,57;94,1;0,597;8,99;93842,43833;84293,05007;11367,75
Moreilândia;2614303;moreirense;VICENTE TEIXEIRA SAMPAIO NETO;404,287;11269;27,52;96,8;0,6;-;32639,96161;33534,79318;7504,18
Solidão;2614402;solidanense;DJALMA ALVES DE SOUZA;138,398;6034;41,5;96,9;0,585;10,31;22765,32282;19023,23919;7655,82
Surubim;2614501;surubinense;ANA CÉLIA CABRAL DE FARIAS;252,896;66192;231,42;97,8;0,635;8,13;110620,90318;108333,5446;12455,57
Tabira;2614600;tabirense;MARIA CLAUDENICE PEREIRA DE MELO CRISTOVAO;390,434;28860;68,11;97,2;0,605;18,78;54035,70347;53162,95659;9818,65
Tacaimbó;2614709;tacaimboense;ALVARO ALCANTARA MARQUES DA SILVA;227,601;12843;55,91;94,4;0,554;5,24;28542,71907;25822,94591;15517,9
Tacaratu;2614808;tacaratuense;WASHINGTON ANGELO DE ARAUJO;1264,532;26439;17,45;96,3;0,573;16,56;51205,88989;55955,89521;7067,31
Tamandaré;2614857;tamandareense;ISAIAS HONORATO DA SILVA MARQUES;213,75;23852;96,66;95,5;0,593;9,62;65049,79581;62477,66377;13636,78
Taquaritinga do Norte;2615003;taquaritinguense;IVANILDO MESTRE BEZERRA;475,184;29472;52,41;96,2;0,641;8,62;50818,96774;49121,45215;10372,42
